"id","name","name"
"CI12749","Capinzal","Brazil"
"CI12752","Ceres","Brazil"
"CI12755","Pacatu","Brazil"
"CI12758","Tamandare","Brazil"
"CI12761","Ubaira","Brazil"
"CI12774","Morrinhos","Brazil"
"CI12777","Fonte Boa","Brazil"
"CI12782","Campestre","Brazil"
"CI12785","Monte Azul","Brazil"
"CI12788","Lagoa do Itaenga","Brazil"
"CI12791","Miracema do Tocantins","Brazil"
"CI12794","Sao Joao de Pirabas","Brazil"
"CI12797","Alagoa Nova","Brazil"
"CI12803","Itanhem","Brazil"
"CI12809","Cordeiro","Brazil"
"CI12812","Salvaterra","Brazil"
"CI12818","Altonia","Brazil"
"CI12819","Ecaussinnes-Lalaing","Belgium"
"CI12822","Caracarai","Brazil"
"CI12827","Sao Joaquim do Monte","Brazil"
"CI12832","Muzambinho","Brazil"
"CI12837","Canarana I","Brazil"
"CI12843","Ibiruba","Brazil"
"CI12849","Butia","Brazil"
"CI12851","Cha Grande","Brazil"
"CI12854","Cruzeiro do Oeste","Brazil"
"CI12870","Bequimao","Brazil"
"CI12876","Abare","Brazil"
"CI12881","Cuite","Brazil"
"CI12888","Encruzilhada","Brazil"
"CI12891","Satiro Dias","Brazil"
"CI12900","Urussanga","Brazil"
"CI12903","Paraguacu","Brazil"
"CI12909","Agua Branca","Brazil"
"CI12922","Taquarana","Brazil"
"CI12925","Ivoti","Brazil"
"CI12928","Sao Luis Gonzaga do Maranhao","Brazil"
"CI12931","Perdoes","Brazil"
"CI12934","Urucui","Brazil"
"CI12937","Paraibano","Brazil"
"CI12940","Araruna","Brazil"
"CI12943","Mairi","Brazil"
"CI12946","Aquidaba","Brazil"
"CI12949","Anage","Brazil"
"CI12952","Itarantim","Brazil"
"CI12958","Carmo do Cajuru","Brazil"
"CI12965","Canto do Buriti","Brazil"
"CI12976","Quatro Barras","Brazil"
"CI12978","Sint-Martens-Lennik","Belgium"
"CI12984","Major Isidoro","Brazil"
"CI12998","Barroso","Brazil"
"CI13000","Alhandra","Brazil"
"CI13004","Paulistana","Brazil"
"CI13006","Mandaguacu","Brazil"
"CI13008","Alpinopolis","Brazil"
"CI13016","Vazante","Brazil"
"CI13019","Chopinzinho","Brazil"
"CI13023","Lajinha","Brazil"
"CI13031","Utinga","Brazil"
"CI13037","Caraubas","Brazil"
"CI13045","Rolante","Brazil"
"CI13051","Quixere","Brazil"
"CI13057","Riachao do Dantas","Brazil"
"CI13059","Ituacu","Brazil"
"CI13063","Juquia","Brazil"
"CI13065","Pauini","Brazil"
"CI13069","Paranapanema","Brazil"
"CI13072","Buerarema","Brazil"
"CI13073","Tibagi","Brazil"
"CI13077","Hidrolandia","Brazil"
"CI13079","Campina Verde","Brazil"
"CI13080","Ifanhim","Benin"
"CI13081","Materi","Benin"
"CI13082","Tapejara","Brazil"
"CI13090","Aguas Formosas","Brazil"
"CI13092","Quitandinha","Brazil"
"CI13096","Julio de Castilhos","Brazil"
"CI13097","Nova Olimpia","Brazil"
"CI13101","Savalou","Benin"
"CI13102","Antas","Brazil"
"CI13104","Carambei","Brazil"
"CI13106","Maracacume","Brazil"
"CI13108","Vargem Alta","Brazil"
"CI13114","Varzelandia","Brazil"
"CI13118","Dianopolis","Brazil"
"CI13123","Silvania","Brazil"
"CI13126","Inaja","Brazil"
"CI13128","Cabaceiras do Paraguacu","Brazil"
"CI13131","Nova Petropolis","Brazil"
"CI13135","Chorozinho","Brazil"
"CI13144","Pindoretama","Brazil"
"CI13149","Itatira","Brazil"
"CI13156","Chapada dos Guimaraes","Brazil"
"CI13158","Arroio do Meio","Brazil"
"CI13159","Ouinhri","Benin"
"CI13164","Padre Paraiso","Brazil"
"CI13166","Umirim","Brazil"
"CI13170","Batalha","Brazil"
"CI13178","Guaranesia","Brazil"
"CI13186","Inhapi","Brazil"
"CI13188","Picui","Brazil"
"CI13190","Caiaponia","Brazil"
"CI13192","Ibipeba","Brazil"
"CI13193","Guene","Benin"
"CI13194","Pitimbu","Brazil"
"CI13196","Carlos Chagas","Brazil"
"CI13200","Boa Vista do Tupim","Brazil"
"CI13201","Vakon","Benin"
"CI13202","Itapiuna","Brazil"
"CI13206","Malacacheta","Brazil"
"CI13209","Kissa","Benin"
"CI13210","Carnaiba","Brazil"
"CI13212","Olho d'Agua das Cunhas","Brazil"
"CI13214","Taio","Brazil"
"CI13218","Conceicao do Almeida","Brazil"
"CI13219","Lobogo","Benin"
"CI13220","Presidente Olegario","Brazil"
"CI13222","Masse","Benin"
"CI13223","Presidente Medici","Brazil"
"CI13225","Azaourisse","Benin"
"CI13228","Capanema","Brazil"
"CI13229","Tobre","Benin"
"CI13230","Guabiruba","Brazil"
"CI13233","Tantega","Benin"
"CI13234","Siqueira Campos","Brazil"
"CI13236","Placido de Castro","Brazil"
